	sex	blood_group	job	residence	birthdate	ssn	current_location	race	name
674	F	AB+	Administrator, charities/voluntary organisations	"0907 Cheryl Course Apt. 564
Jacksonborough, MD 83846"	1948-02-28	392-55-7413	(Decimal('11.095673'), Decimal('-140.358957'))	Indian	Katrina Zimmerman
675	M	A+	Sub	"03489 Rebecca Brook Apt. 309
Thomasberg, NH 55861"	1984/04/01	243-76-7785	(Decimal('84.7050065'), Decimal('94.740098'))	Black	James Duffy
676	F	AB+	Horticultural consultant	"3599 Parker Avenue Suite 788
New Cassandraport, ME 86057"	2004-02-04	313-35-0108	(Decimal('25.413039'), Decimal('-11.980698'))	White	Bonnie Owens
677	M	B+	Librarian, academic	"086 Shane Crescent
Richardborough, NE 16569"	10/28/1928, 00:00:00	369-14-0248	(Decimal('-7.3389605'), Decimal('5.657300'))	Black	Adam Manning
678	F	A+	Community education officer	"56897 Stevens Village Suite 676
Brandonville, WI 08251"	2015/07/01	182-61-3641	(Decimal('-45.5043085'), Decimal('174.089271'))	Black	Emily Hopkins
679	M	AB+	Therapist, music	"USNV Barajas
FPO AA 85104"	13 Feb 1991	056-58-8043	(Decimal('36.6492485'), Decimal('-76.780095'))	White	Russell Hernandez
680	F	O+	Statistician	"USCGC Gordon
FPO AA 87036"	1953-04-04	642-82-1962	(Decimal('-80.478832'), Decimal('159.365268'))	Black	Melanie Weaver
681	F	B+	Product manager	"8530 Perry Village
East Melissafort, MA 11768"	2009/10/03	513-80-7310	(Decimal('33.2839935'), Decimal('-161.309914'))	Indian	Amber Wiggins
682	F	A+	Outdoor activities/education manager	"USNS Adams
FPO AP 56649"	05/04/1955, 00:00:00	497-68-0269	(Decimal('-77.1345275'), Decimal('-9.360440'))	Indian	Heather Johnson
683	M	B+	Chartered certified accountant	"2174 Jaclyn Valleys Apt. 130
North Russellbury, MN 48274"	1954-10-20	879-02-0849	(Decimal('4.2563875'), Decimal('96.782553'))	White	Jacob Owens
684	F	A+	Radio broadcast assistant	"47884 Guerra Way Apt. 713
Erikbury, CO 74162"	07/18/1961, 00:00:00	773-88-7433	(Decimal('52.6931055'), Decimal('118.602267'))	Black	Maria Moses
685	F	O-	Designer, ceramics/pottery	"PSC 1647, Box 5846
APO AA 89698"	04/11/1923, 00:00:00	465-02-7258	(Decimal('-20.5821105'), Decimal('-64.112770'))	Asian	Ebony Wilson
686	F	AB-	Advertising account planner	"74111 Eric Shoals
Lake Margaret, MN 25224"	1927-07-14	542-97-2860	(Decimal('-72.833122'), Decimal('-175.819041'))	Black	Kimberly Thompson
687	M	A+	Clinical psychologist	"1219 Jackson Lodge
Williamview, CT 39369"	1998-01-27	805-98-0463	(Decimal('89.639046'), Decimal('149.338376'))	White	Derek Fuller
688	F	B-	Investment analyst	"66800 Shaffer Green Suite 196
Allisonland, KS 78191"	02 Feb 1970	415-59-5497	(Decimal('-4.192765'), Decimal('-113.271983'))	Asian	Cathy Jensen
689	M	AB-	Airline pilot	"1869 Banks Neck Apt. 079
Codystad, KY 75487"	21 Apr 2009	736-17-4906	(Decimal('74.4203105'), Decimal('142.877860'))	White	Gregg Santana
690	F	B+	Psychologist, occupational	"6702 Moore Dale
Penningtonmouth, NH 27442"	1948-06-12	831-17-5404	(Decimal('-52.4608955'), Decimal('-59.391615'))	White	Andrea Wallace DDS
691	M	B-	Cabin crew	"20348 Sawyer Springs Suite 892
Port Gloria, IA 32059"	08/14/1937, 00:00:00	868-21-0043	(Decimal('54.0917645'), Decimal('121.043923'))	White	Michael Frey
692	M	AB-	Biochemist, clinical	"PSC 5776, Box 7805
APO AP 29845"	03 Mar 1963	331-85-5513	(Decimal('54.9658565'), Decimal('-111.759709'))	Black	Michael Le
693	F	B-	Loss adjuster, chartered	"0956 Ross Stream Apt. 581
Caseyton, SC 20545"	01 May 1935	776-58-6882	(Decimal('73.4740725'), Decimal('9.313264'))	White	Jennifer Robertson
694	M	B-	Hotel manager	"6828 Matthews Neck Suite 696
Blackburnberg, IL 12092"	2020-07-28	416-23-5379	(Decimal('26.663085'), Decimal('-76.847025'))	White	William Gray
695	M	O+	Theme park manager	"57584 Smith Avenue Suite 934
Matthewborough, NY 78579"	2018-03-14	297-11-4863	(Decimal('-1.3556595'), Decimal('118.759399'))	White	Kenneth Wagner
696	M	O-	Midwife	"160 Diaz Harbor Apt. 460
Michealland, CA 96366"	1960/12/10	691-87-4540	(Decimal('52.6890375'), Decimal('-168.111818'))	Black	Jesus Melendez
697	F	O-	Agricultural consultant	"008 Mark Loop Apt. 319
Roachstad, OK 46406"	1940/10/13	754-73-5559	(Decimal('-42.6218205'), Decimal('23.125131'))	Hawaiian	Karen Matthews
698	M	O+	Engineer, chemical	"055 Garcia Groves
New Colleenhaven, MD 40253"	28 Aug 1952	811-82-7714	(Decimal('6.208248'), Decimal('16.305780'))	Asian	Ian Powell
699	F	A-	Seismic interpreter	"Unit 8532 Box 2597
DPO AE 71020"	03/06/1934, 00:00:00	069-22-6136	(Decimal('4.751331'), Decimal('50.589344'))	Asian	Stacy Edwards
700	F	A-	Academic librarian	"62771 Danielle Dale
Williamberg, CT 99293"	1932-05-07	626-02-1114	(Decimal('-37.805300'), Decimal('-110.519290'))	Hawaiian	Stacey Bryant
701	M	A-	Engineer, automotive	"2706 Gonzalez Shore Suite 408
Jefferyview, WI 35534"	2004/11/30	812-94-6383	(Decimal('-67.341478'), Decimal('126.036373'))	White	Terry Allen
702	M	AB-	Buyer, industrial	"714 Fox Lock Suite 072
South Hannahmouth, WA 79269"	2010-08-22	503-32-6751	(Decimal('-70.1751975'), Decimal('-142.346097'))	black	David Mccoy
703	M	AB-	Lobbyist	"58215 Susan Rest
Lake Toddside, FL 44081"	1997-02-14	306-48-2348	(Decimal('59.173464'), Decimal('-9.780597'))	White	Frank Newman
704	F	AB+	Scientist, research (medical)	"435 Wilson Trail Suite 141
South Susan, AZ 65622"	2012/08/08	471-80-9131	(Decimal('40.5789775'), Decimal('-155.185212'))	Black	Carolyn Jones
705	F	A-	Sports therapist	"USNV May
FPO AE 71418"	1972-01-19	053-57-5240	(Decimal('9.946153'), Decimal('12.043224'))	White	Melissa Underwood
706	F	B+	Building surveyor	"609 Glass Court Suite 685
New Meredithton, MN 18805"	2014-08-22	394-08-4550	(Decimal('-41.212577'), Decimal('-3.191536'))	Indian	Emma Holmes
707	F	AB+	Herbalist	"PSC 4146, Box 5322
APO AA 48732"	06/25/1921, 00:00:00	567-83-2018	(Decimal('-32.5092345'), Decimal('20.731485'))	White	Erica Perez
708	M	B+	Administrator, arts	"29164 Linda Lodge
Jenkinsburgh, WY 73103"	1961/07/30	029-25-8584	(Decimal('-50.3515885'), Decimal('-130.544576'))	White	Eric Wood
709	M	O-	Equality and diversity officer	"318 Travis Freeway
Jonathanfort, AZ 38750"	1999/09/23	444-27-1556	(Decimal('56.139630'), Decimal('-85.191111'))	White	Jerry Rowe
710	M	O-	Geophysical data processor	"080 Carroll Valleys Apt. 217
West Daniel, NH 21318"	17 Aug 1986	521-70-8861	(Decimal('-58.951034'), Decimal('-130.514082'))	White	Adam Moore
711	F	O+	Diplomatic Services operational officer	"236 Lisa Drive Suite 270
Haynesside, MD 09811"	1979/09/03	798-10-8780	(Decimal('66.756604'), Decimal('-88.718376'))	White	Patricia Sutton
712	F	O+	Engineer, civil (consulting)	"172 Vaughn Hill
West Dennisview, AL 63478"	1983/12/27	786-55-2310	(Decimal('-23.964439'), Decimal('-178.912588'))	White	Heather Rodriguez
713	F	AB+	Chartered accountant	"228 Evans Fords Suite 974
New Deannaport, DC 93995"	14 Dec 1946	372-53-9652	(Decimal('53.4444735'), Decimal('-45.585990'))	Black	Gina Warner
714	F	A-	Therapist, drama	"7739 Schultz Oval
Gonzalezshire, CO 95500"	08/23/1978, 00:00:00	451-75-0447	(Decimal('-7.515430'), Decimal('-22.266773'))	White	Samantha Thornton
715	M	A+	Structural engineer	"USNS Allen
FPO AA 27601"	1906-02-08	211-06-9802	(Decimal('0.203082'), Decimal('-20.918948'))	Hawaiian	Paul Bird
716	F	A+	Actuary	"292 Calderon Stravenue Suite 770
Jayberg, NC 02535"	1972/10/16	064-75-6037	(Decimal('-65.1304755'), Decimal('80.639524'))	Asian	Linda Powell
717	M	A+	Records manager	"9615 Bartlett Ferry
Marieport, CT 54851"	1946-03-06	399-36-2367	(Decimal('80.183318'), Decimal('-79.122086'))	White	Dr. Thomas Figueroa
718	M	O+	Nurse, mental health	"1145 Ruiz Terrace
North Kennethchester, ID 26762"	1922/09/09	829-76-7029	(Decimal('-79.810338'), Decimal('150.250637'))	White	David Jones
719	M	A-	Chiropractor	"920 Corey Cliff
Rushtown, IN 61059"	08/04/1958, 00:00:00	669-31-4144	(Decimal('4.7838685'), Decimal('35.918199'))	Black	George Brown
720	M	AB+	Energy manager	"867 Christina Mountain Apt. 465
North Courtneyport, MD 76611"	2001-05-07	738-59-9388	(Decimal('62.8170915'), Decimal('174.363226'))	Black	Louis Gonzalez
721	M	AB+	Systems developer	"27193 Jason River
Schroederfurt, TX 10666"	29 Dec 1946	479-06-7615	(Decimal('-6.680345'), Decimal('167.907940'))	Black	Douglas Young
722	M	O-	Research scientist (maths)	"5026 Diane Trafficway
Lake Rachelhaven, IL 80795"	1927-08-07	893-22-4556	(Decimal('-32.9738545'), Decimal('8.357714'))	Black	Brandon Taylor
723	M	B-	Ecologist	"377 Sydney Pines Suite 939
Hicksview, OH 76124"	04/08/1950, 00:00:00	605-92-6649	(Decimal('-59.377469'), Decimal('-44.925949'))	White	Steven Mcguire
724	M	A-	Toxicologist	"6061 Timothy Parks Suite 773
Moraville, WA 27615"	17 Aug 1958	164-84-3883	(Decimal('-73.9799665'), Decimal('-87.582725'))	Black	Thomas Lopez
725	F	O-	IT consultant	"98706 Richard Loop Suite 282
Sylviachester, AR 32895"	25 Aug 1985	697-29-6048	(Decimal('-17.4825715'), Decimal('-70.085829'))	blsck	Tanya Rogers
726	F	B+	Hospital doctor	"403 Williams Tunnel Apt. 199
Juliamouth, MS 82821"	26 May 2008	732-53-5675	(Decimal('-61.425183'), Decimal('62.661627'))	White	Casey Strong
727	M	B-	Arboriculturist	"3247 Barber Spur
Port Andreaside, OK 65307"	06 Nov 2013	538-33-9379	(Decimal('-84.471072'), Decimal('-152.578215'))	Asian	Robert Kennedy
728	M	B-	Social research officer, government	"3836 Bryant Court
West Regina, CO 09126"	02 Aug 1990	561-38-4347	(Decimal('-1.239771'), Decimal('-49.473997'))	White	David Flowers
729	F	A+	Librarian, academic	"4451 Bell Expressway Apt. 820
Port Matthew, MO 90129"	25 Dec 1988	724-17-0579	(Decimal('-30.629868'), Decimal('0.803188'))	White	Katie Dennis
730	F	B-	Rural practice surveyor	"84831 Lance Vista Apt. 850
Wellston, AR 30814"	02/22/1958, 00:00:00	287-57-1308	(Decimal('-30.1776495'), Decimal('154.895263'))	Black	Tiffany Lowery
731	F	B-	Programmer, applications	"374 Gross Avenue Suite 398
West Brettstad, VA 39010"	2001/04/20	489-90-3585	(Decimal('43.0599005'), Decimal('57.665786'))	White	Vanessa Silva
732	F	AB+	Musician	"Unit 9152 Box 8079
DPO AP 60514"	1929/08/31	773-06-0244	(Decimal('32.795642'), Decimal('111.489666'))	Black	Dawn Lopez
733	F	A-	Research officer, government	"45520 Powell Bypass Suite 512
Robertview, NC 41058"	19 Dec 1913	801-83-5313	(Decimal('-36.1459435'), Decimal('168.410388'))	Black	Alexandra Schultz
734	F	B-	Administrator, arts	"778 Brown River Apt. 641
New Heathermouth, MO 45815"	1910/10/26	718-78-4967	(Decimal('-56.160048'), Decimal('105.675102'))	White	Sheila Hansen
735	M	O+	Tourism officer	"628 Bradley Manors
South Jacobton, CA 09028"	05/07/1960, 00:00:00	204-71-8691	(Decimal('63.7422395'), Decimal('-108.493585'))	White	George Walker
736	F	A-	Special educational needs teacher	"92300 Sharon Greens
Williamston, AL 46711"	02 May 1943	757-42-9569	(Decimal('45.975574'), Decimal('176.670073'))	White	Mrs. Vanessa Bell DVM
737	M	O+	Tax adviser	"Unit 4332 Box 8971
DPO AP 96456"	1994-07-22	679-56-5648	(Decimal('-63.603463'), Decimal('164.942279'))	Indian	Russell Tucker
738	F	O-	Intelligence analyst	"95384 Willie Pike Apt. 371
South Vickishire, MN 33875"	2020/07/28	804-08-6082	(Decimal('-60.916155'), Decimal('5.998807'))	Black	Hannah Hoover DVM
739	M	O+	Education officer, community	"54140 Micheal Summit Apt. 214
Port Heatherton, DC 60965"	03/23/1948, 00:00:00	213-55-8148	(Decimal('-26.321240'), Decimal('-29.463279'))	White	Kenneth May
740	F	AB+	Teacher, adult education	"317 Anderson Estate
East John, UT 63417"	1914-11-25	401-84-7857	(Decimal('33.589989'), Decimal('97.002920'))	White	Karen Jackson
741	F	B+	Accountant, chartered	"85233 Jeremy Falls
Michellebury, ME 25365"	02/23/2020, 00:00:00	566-92-6605	(Decimal('-54.683511'), Decimal('127.864072'))	White	Angela Le
742	F	A-	Theme park manager	"7133 Adam Valleys Suite 321
West Rachelport, LA 24533"	1948/08/24	409-66-0174	(Decimal('59.425593'), Decimal('36.688641'))	White	Heather Nelson
743	M	O+	Nurse, mental health	"7816 Sloan Underpass Suite 088
Masonhaven, MD 65945"	23 Nov 1966	570-88-1363	(Decimal('56.0495215'), Decimal('-114.678810'))	White	Marc Bailey
744	F	O+	Engineer, energy	"813 Adams Circles Suite 786
Fletcherhaven, CT 10528"	21 Feb 1926	198-12-0344	(Decimal('-86.9140315'), Decimal('-46.461681'))	Black	Angela Barrera
745	F	B-	Lawyer	"9443 Wilson Ramp Suite 218
New Laurenberg, CT 91475"	01 Dec 1912	257-19-1057	(Decimal('-63.874584'), Decimal('-132.873523'))	Black	Latoya Esparza
746	M	AB+	Accountant, chartered management	"42823 Claire Cove Suite 431
Rollinsport, AR 26420"	1969-03-07	218-92-0682	(Decimal('-76.179265'), Decimal('100.448669'))	Black	David Flores
747	M	B+	Chief Executive Officer	"97334 Brown Mews
Marymouth, NH 39949"	10/22/1984, 00:00:00	365-28-6452	(Decimal('31.454885'), Decimal('43.126641'))	White	Danny Blake
748	F	AB+	Bonds trader	"7356 Robert Square
Ebonychester, CT 14497"	12/24/1997, 00:00:00	280-21-0530	(Decimal('-60.099867'), Decimal('62.278345'))	White	Connie Zimmerman
749	M	A-	Geochemist	"1101 Kevin Harbor Suite 416
Cooperland, TX 00922"	1977/08/30	481-93-1951	(Decimal('-56.1139715'), Decimal('38.227676'))	Black	Ronald Blair
750	F	A-	Proofreader	"008 Dickson Parks Suite 096
Ramirezton, OR 07507"	03 Feb 1922	170-89-9280	(Decimal('-43.969929'), Decimal('-5.315647'))	White	Shannon King
751	M	A-	Bookseller	"6005 Romero Radial Suite 674
Charlesmouth, KY 01549"	1951-09-08	618-35-7826	(Decimal('18.700980'), Decimal('-133.880180'))	White	Jesus Simon
752	M	B-	Records manager	"272 Craig Islands Suite 789
Port Michellestad, MA 23998"	1948-02-11	771-44-6676	(Decimal('-59.2589735'), Decimal('-58.010754'))	black	Bryce May
753	F	AB-	Nurse, children's	"PSC 1608, Box 9644
APO AE 46036"	04/17/1928, 00:00:00	079-73-4221	(Decimal('-29.0124845'), Decimal('-112.173531'))	Black	Amanda Morris
754	M	B+	Actuary	"50686 Jeffrey Skyway Apt. 802
Noahchester, PA 57457"	1921-12-02	860-72-4534	(Decimal('-20.7674575'), Decimal('36.912261'))	White	Matthew Long
755	F	AB-	Health and safety adviser	"9181 Carly Stravenue Apt. 045
Smithburgh, HI 11889"	07/10/1976, 00:00:00	887-12-7076	(Decimal('74.3766555'), Decimal('-51.676465'))	Hawaiian	Kristen Miller
756	M	B+	Writer	"5091 Horton Mall
West Robert, NM 33576"	1934-06-12	818-77-2503	(Decimal('-17.782847'), Decimal('20.558078'))	Black	Frederick Mitchell
757	F	O-	IT consultant	"949 Smith Crossroad Apt. 352
Kelleyland, OK 42114"	12 Jun 2014	002-35-1827	(Decimal('20.020940'), Decimal('88.037663'))	Indian	Angela Velasquez
758	F	B-	Retail merchandiser	"09292 Ford Well
West Timothy, MA 02854"	26 Nov 1991	248-42-1784	(Decimal('-15.464613'), Decimal('-112.041171'))	Black	Heidi Gill
759	M	O-	Estate agent	"68643 Ruiz Plain
Jessicashire, TN 03801"	08/16/1929, 00:00:00	891-95-4340	(Decimal('87.7808445'), Decimal('144.059076'))	White	Paul Aguilar
760	F	A+	Nurse, learning disability	"902 Young Row Suite 514
Douglasshire, MD 65446"	08/23/1925, 00:00:00	789-14-1635	(Decimal('-67.0296625'), Decimal('-132.563712'))	White	Norma Pollard
761	M	O+	Lawyer	"050 Bass Harbors
West Bobby, CO 40472"	11/06/1913, 00:00:00	694-16-1157	(Decimal('4.2867245'), Decimal('-169.659809'))	White	Riley Hoffman
762	M	O+	Land	"3062 Smith Junctions
Teresaborough, IN 55771"	12/04/1987, 00:00:00	351-35-8003	(Decimal('51.279258'), Decimal('-5.838496'))	Hawaiian	Chad Mora
763	M	O-	Designer, industrial/product	"5727 Gonzales Station
Lake Karen, OK 87902"	05/11/1912, 00:00:00	176-23-4882	(Decimal('83.6379655'), Decimal('-138.009327'))	Indian	Gregory Montgomery
764	M	B+	Gaffer	"653 Chelsea Harbor
Wongbury, UT 34355"	01/03/1933, 00:00:00	440-29-5024	(Decimal('40.9868765'), Decimal('-89.817592'))	White	Matthew Williams
765	F	A-	Psychologist, clinical	"1563 Holmes Pine Suite 424
Kimberlystad, OR 01426"	1968-12-03	572-85-1419	(Decimal('42.2778735'), Decimal('-52.313370'))	White	Rebekah Marsh
766	F	O-	Quantity surveyor	"564 Williams Corners
Nicholasport, SD 40504"	09/30/1986, 00:00:00	821-67-0694	(Decimal('-53.793348'), Decimal('-177.201912'))	White	Elizabeth Johnson
767	M	B-	Risk analyst	"42509 Sims Square
North Patriciaborough, TX 45514"	03 Jun 1915	679-34-1311	(Decimal('-50.988880'), Decimal('-94.009899'))	White	Juan Woods
768	M	B+	English as a foreign language teacher	"8579 Conway Point
West Tracyton, CO 06262"	1993-12-27	128-58-9456	(Decimal('21.5559035'), Decimal('-35.942229'))	White	Michael Williams
769	M	AB+	Diplomatic Services operational officer	"1493 Gill Freeway
Damonport, WA 65452"	08 Jul 1976	153-71-0804	(Decimal('-76.0644105'), Decimal('-138.285366'))	Asian	William Wiggins
770	M	A-	Farm manager	"43656 Jonathan Highway
Whitneyport, WY 40941"	1982/05/10	866-56-2670	(Decimal('-2.5424015'), Decimal('18.634916'))	White	Nicholas Martinez
771	F	O+	Scientist, clinical (histocompatibility and immunogenetics)	"4355 Barrera Forges
Kristenborough, WV 12749"	1968/07/12	592-54-7023	(Decimal('-65.265180'), Decimal('44.962293'))	White	Amy Campbell
772	F	O+	Bonds trader	"744 Mccall Branch Suite 366
Port Andrew, NV 91442"	1991/10/27	015-87-0524	(Decimal('-72.3383265'), Decimal('167.176962'))	Asian	Jennifer Johnson
773	F	B-	Company secretary	"78059 Washington Walk
New Kristinaburgh, NV 78284"	1961/07/20	295-96-3409	(Decimal('27.0365925'), Decimal('-78.156063'))	White	Patricia Smith
774	F	B-	Museum/gallery curator	"28014 Wanda Avenue
Bradfordville, DE 86373"	11/02/1941, 00:00:00	403-10-2071	(Decimal('77.6780555'), Decimal('147.742656'))	White	Mary Woods
775	M	O-	Herbalist	"55418 Richard Unions Suite 974
Elizabethside, NH 69846"	2005-08-22	048-35-0076	(Decimal('-18.024318'), Decimal('159.064293'))	Asian	Ernest Rodriguez
776	M	AB-	Geoscientist	"44634 Galvan Pike Suite 778
Michaelfort, NH 26814"	1931/07/22	107-58-1702	(Decimal('70.329136'), Decimal('-107.675514'))	Hawaiian	Henry Stone
777	M	O+	Building surveyor	"4569 Sarah Shores
North Brian, RI 10694"	1929/11/16	512-29-7210	(Decimal('77.9469685'), Decimal('-177.057448'))	White	Mr. Cory Jimenez
778	M	O-	Operations geologist	"0052 Taylor Manor Suite 478
Johnport, VA 46582"	03/29/1958, 00:00:00	461-22-6223	(Decimal('-11.499347'), Decimal('0.069616'))	White	Mr. Robert Gould II
779	M	O-	Sports therapist	"0336 Katelyn Freeway Suite 570
Alexhaven, WI 12536"	10/09/1948, 00:00:00	059-96-9515	(Decimal('78.789306'), Decimal('-15.087105'))	Indian	Michael Chandler
780	M	A-	Associate Professor	"618 Justin Parkway Suite 137
Terryside, FL 58929"	1954/01/22	313-37-5183	(Decimal('-72.669581'), Decimal('-10.901078'))	White	Craig Ramirez
781	M	AB+	Psychologist, sport and exercise	"89916 Peterson Cove
Veronicastad, WI 28952"	1994-09-29	824-83-7179	(Decimal('-26.7952435'), Decimal('6.608121'))	Hawaiian	Patrick Peters
782	M	B+	Secretary, company	"7829 Meyer Dale
North Joshuachester, VA 31960"	09/01/2004, 00:00:00	004-26-0799	(Decimal('82.9399065'), Decimal('-129.246581'))	Black	Timothy Bush
783	M	A+	Dentist	"509 Todd Drive
South Robert, SD 15005"	2002-10-01	680-02-5084	(Decimal('25.446769'), Decimal('-171.861794'))	Black	Daniel Winters
784	F	AB-	Interpreter	"17836 Marco Bridge
North Nichole, KY 80562"	1916-03-04	285-11-3493	(Decimal('22.7138695'), Decimal('-25.465891'))	Asian	Samantha Fry
785	F	B-	Structural engineer	"589 Ponce Shoals
East Jaketown, VT 55136"	1976/10/05	132-12-3303	(Decimal('-16.0479535'), Decimal('45.067524'))	White	Debra Ochoa
786	M	B-	Drilling engineer	"2200 Nguyen Land
New Mariah, MT 44755"	1973/05/26	036-78-5758	(Decimal('-35.6865525'), Decimal('-6.259519'))	Black	Charles Jackson Jr.
787	F	AB-	Geneticist, molecular	"71852 Jason Unions Suite 080
Collinsville, NC 00967"	03 Aug 1982	788-66-1097	(Decimal('12.2158655'), Decimal('157.894113'))	Black	Kylie Wright
788	F	A+	Actor	"08488 Janet Dam
Andreastad, NJ 67837"	27 Feb 1961	670-24-0461	(Decimal('63.3628315'), Decimal('-154.157463'))	White	Rachel House
789	F	B-	Senior tax professional/tax inspector	"829 Stephanie Skyway
Lewistown, HI 22860"	28 Mar 1999	598-43-7161	(Decimal('-7.322710'), Decimal('-104.832925'))	Black	Lisa Gonzales
790	F	B-	Civil engineer, consulting	"8442 Patricia Loop Apt. 804
South Jennifer, WY 45871"	09 Dec 2011	327-54-9999	(Decimal('32.5360785'), Decimal('10.832419'))	Black	Renee Alvarez
791	F	AB+	Race relations officer	"60327 Francis Trafficway
Mcbridehaven, ID 26280"	1955/02/03	304-62-3195	(Decimal('-56.0795545'), Decimal('-38.976080'))	White	Melissa Diaz
792	F	A-	Proofreader	"9736 Jessica Cape Suite 121
Port Paul, WA 92706"	2021/01/20	254-20-0883	(Decimal('2.679533'), Decimal('-95.431770'))	White	April Smith
793	M	B-	Radio producer	"0082 Katie Manor Apt. 587
Davidview, MO 82853"	23 Sep 1927	536-33-6796	(Decimal('-45.237981'), Decimal('-13.787787'))	White	Sergio Jacobson
794	M	O-	Armed forces operational officer	"4652 Colleen Shoal
Edwardbury, WA 65115"	16 Jan 1953	174-76-6806	(Decimal('-42.7306315'), Decimal('-167.717343'))	Black	Shawn Smith
795	M	AB-	Public house manager	"2489 Watkins Square
Port George, FL 64807"	1935/08/08	222-66-7724	(Decimal('-3.0993985'), Decimal('-81.011436'))	Indian	Patrick Bailey
796	M	A-	Designer, television/film set	"70573 Collins Road Suite 528
Stevenmouth, GA 46823"	05/30/2003, 00:00:00	757-03-4503	(Decimal('-41.692374'), Decimal('72.808771'))	Indian	Matthew Russell
797	F	AB-	Geophysicist/field seismologist	"069 Anderson Stravenue
Tonyfurt, IA 62584"	1919/05/29	407-94-6228	(Decimal('-88.308389'), Decimal('-112.389482'))	White	Jamie Oconnor
798	M	A+	Psychiatrist	"36979 Dana Village
Port Claudiashire, CA 11226"	1997/07/21	181-51-2471	(Decimal('24.211980'), Decimal('-65.232167'))	Black	Kevin Gilbert
799	M	A+	Surveyor, insurance	"317 Carpenter Mills
Port Alicia, KS 69784"	12 Mar 1934	573-43-6481	(Decimal('-88.379509'), Decimal('-68.875453'))	Asian	Gerald Manning
800	M	AB-	Therapist, nutritional	"09904 Leslie Park
Albertton, WI 43110"	02 Jul 2014	843-18-7123	(Decimal('73.3603705'), Decimal('-13.907273'))	Indian	Kevin Green
801	M	B+	Engineer, site	"8247 Thomas Club
Henryton, FL 02034"	25 Nov 1947	297-50-9780	(Decimal('20.258666'), Decimal('112.683443'))	Black	Richard Wilson
802	F	O+	Armed forces operational officer	"05722 Smith Roads
Jennifershire, ND 83332"	12 Jan 1947	314-19-0378	(Decimal('40.6261305'), Decimal('-68.907917'))	White	Andrea Becker
803	F	A-	Corporate investment banker	"1536 Kidd Bridge
East Jennifer, SD 84453"	1944/05/17	640-68-2336	(Decimal('-69.2637155'), Decimal('-141.093819'))	Black	Lisa Hernandez
804	M	A-	Financial adviser	"2990 Samuel Freeway
Wisemouth, RI 22912"	03/29/1947, 00:00:00	469-63-5773	(Decimal('20.4233945'), Decimal('-84.998477'))	Asian	Ryan Dixon
805	M	O+	Psychologist, clinical	"82286 Stephens Road Apt. 561
Ochoaberg, NJ 60091"	1949-03-15	347-41-7225	(Decimal('81.853677'), Decimal('-63.811670'))	White	Kevin Collins
806	F	AB-	Phytotherapist	"583 Blake Light
East Tammy, IN 26623"	2008-04-22	571-09-7981	(Decimal('56.0619365'), Decimal('-142.260376'))	White	Sarah Fletcher
807	F	B-	Brewing technologist	"91787 Eric Wells
Port Tyronestad, TX 57003"	12/18/2010, 00:00:00	372-03-1557	(Decimal('25.451884'), Decimal('101.826382'))	White	Janice Obrien
808	F	A+	Occupational psychologist	"7700 Adams Lane
East Katrinachester, NM 18831"	02/22/1912, 00:00:00	160-92-5972	(Decimal('48.0246195'), Decimal('-127.653136'))	Asian	Brittany Taylor
809	M	O-	Education officer, environmental	"21993 Megan Court Apt. 761
Lake Patrickmouth, OH 83253"	27 Oct 1967	333-74-4566	(Decimal('-60.6186295'), Decimal('64.017663'))	Indian	Phillip Garcia
810	M	A+	Scientist, water quality	"17904 Melissa Roads
New Jesse, NY 16992"	1949-04-07	833-63-9934	(Decimal('1.3178505'), Decimal('-36.444479'))	White	Ronnie Ross
811	M	B-	Dealer	"PSC 9408, Box 6718
APO AP 71087"	1923-02-13	197-58-9950	(Decimal('-20.1728065'), Decimal('-121.045388'))	Asian	James Francis
812	M	AB-	Buyer, industrial	"1652 Kidd Cove
East Gabriellastad, CT 37033"	02 Aug 1973	283-22-0154	(Decimal('31.6278305'), Decimal('135.555469'))	Black	Michael Davis
813	F	A+	Sports coach	"9048 Smith Fords Apt. 311
Murraychester, OR 17651"	10/07/1943, 00:00:00	491-24-9009	(Decimal('-24.5591685'), Decimal('22.218752'))	White	Debra Williams
814	F	O-	Musician	"1496 Samantha Squares
Heatherland, TX 69398"	11/13/1971, 00:00:00	787-22-1657	(Decimal('-44.583780'), Decimal('56.755012'))	White	Samantha Murphy
815	F	B-	Community pharmacist	"02663 Kathleen Extensions Apt. 328
Lake Mary, NC 08940"	2018/12/09	408-10-2676	(Decimal('69.216864'), Decimal('95.862249'))	White	Megan Patel
816	F	O-	Lecturer, further education	"89845 Jeremy Wall Suite 867
East Thomas, WV 45735"	2003-01-26	438-06-2698	(Decimal('-29.7885295'), Decimal('60.578073'))	Black	Tiffany Coffey
817	F	AB+	Education officer, environmental	"9066 Ryan Neck
Lake Savannah, PA 91357"	08/26/1959, 00:00:00	430-64-8975	(Decimal('84.3958485'), Decimal('96.669845'))	White	Lisa Schwartz
818	F	A-	Conservation officer, historic buildings	"247 Campbell Vista
New Samantha, HI 17285"	1930/11/20	745-67-0827	(Decimal('3.886522'), Decimal('38.994512'))	White	Anna Estrada
